Expr Log Ratio,Note,ID,Symbol,Entrez Gene Name,Location,Type(s)
4.993,upstream,Fgd4,FGD4,"FYVE, RhoGEF and PH domain containing 4",Cytoplasm,other
4.993,downstream,Med13l,MED13L,mediator complex subunit 13 like,Nucleus,other
4.926,inside,Dync1i1,DYNC1I1,dynein cytoplasmic 1 intermediate chain 1,Cytoplasm,other
4.855,upstream,Gm8840,Gm8840,predicted gene 8840,Other,other
4.703,inside,Eapp,EAPP,E2F associated phosphoprotein,Cytoplasm,other
4.703,downstream,Gm12242,Gm12242,ribosomal protein S6 pseudogene,Other,other
4.621,upstream,Tcp1-ps1,Tcp1-ps1,"t-complex protein 1, pseudogene 1",Other,other
4.621,upstream,Wdr35,WDR35,WD repeat domain 35,Cytoplasm,other
4.534,upstream,Tgfa,TGFA,transforming growth factor alpha,Extracellular Space,growth factor
4.44,upstream,Btg1,BTG1,BTG anti-proliferation factor 1,Nucleus,transcription regulator
4.44,upstream,Gm12813,Gm12813,selection and upkeep of intraepithelial T-cells protein 11-like,Other,other
4.341,upstream,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
4.341,upstream,Gja1,GJA1,gap junction protein alpha 1,Plasma Membrane,transporter
4.341,includeFeature,Rpl36-ps3,Rpl36-ps3,"ribosomal protein L36, pseudogene 3",Other,other
4.234,upstream,1700003H04Rik,1700003H04Rik,RIKEN cDNA 1700003H04 gene,Other,other
4.234,downstream,Gm15442,Gm15442,zinc finger protein 114 pseudogene,Other,other
4.234,downstream,Zfp640,Zfp640,zinc finger protein 640,Other,other
4.234,downstream,Zim1,Zim1,"zinc finger, imprinted 1",Nucleus,other
4.177,upstream,Gm13239,Gm13239,high mobility group box 3 pseudogene,Other,other
4.119,upstream,Rfx4,Rfx4,regulatory factor X4,Nucleus,transcription regulator
4.119,upstream,Rpl21-ps5,Rpl21-ps5,"ribosomal protein L21, pseudogene 5",Other,other
4.119,upstream,S100a5,S100A5,S100 calcium binding protein A5,Nucleus,other
4.119,downstream,Sox17,SOX17,SRY-box 17,Nucleus,transcription regulator
4.119,inside,Tmem181b-ps,Tmem181b-ps,"transmembrane protein 181B, pseudogene",Other,other
4.119,upstream,Zfp40,Zfp40,zinc finger protein 40,Other,other
4.057,upstream,Gm8840,Gm8840,predicted gene 8840,Other,other
3.993,inside,4930546C10Rik,4930546C10Rik,RIKEN cDNA 4930546C10 gene,Other,other
3.993,upstream,Gm14554,Gm14554,WD repeat domain 44 pseudogene,Other,other
3.993,downstream,Gm4787,Adam4/Gm4787,a disintegrin and metallopeptidase domain 4,Other,peptidase
3.993,upstream,Ism2,Ism2,isthmin 2,Other,other
3.993,upstream,Kif22-ps,Kif22-ps,"kinesin family member 22, pseudogene",Other,other
3.993,inside,Pdgfrl,PDGFRL,platelet derived growth factor receptor like,Plasma Membrane,kinase
3.993,upstream,Pid1,Pid1,phosphotyrosine interaction domain containing 1,Cytoplasm,other
3.993,upstream,Zkscan2,ZKSCAN2,zinc finger with KRAB and SCAN domains 2,Nucleus,transcription regulator
3.926,inside,Dmxl2,DMXL2,Dmx like 2,Cytoplasm,other
3.926,inside,Lepr,LEPR,leptin receptor,Plasma Membrane,transmembrane receptor
3.855,upstream,Aoah,AOAH,acyloxyacyl hydrolase,Extracellular Space,enzyme
3.855,inside,Apol7e,Apol7e (includes others),apolipoprotein L 7e,Other,other
3.855,inside,Bard1,BARD1,BRCA1 associated RING domain 1,Nucleus,transcription regulator
3.855,upstream,Cacng6,CACNG6,calcium voltage-gated channel auxiliary subunit gamma 6,Plasma Membrane,ion channel
3.855,inside,Chchd3,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3,Cytoplasm,transcription regulator
3.855,upstream,Cntnap5b,Cntnap5b,contactin associated protein-like 5B,Other,other
3.855,inside,Fam174b,FAM174B,family with sequence similarity 174 member B,Other,other
3.855,inside,Galnt13,GALNT13,polypeptide N-acetylgalactosaminyltransferase 13,Cytoplasm,enzyme
3.855,upstream,Gm10351,Gm10351,predicted gene 10351,Other,other
3.855,downstream,Gm13244,Gm13244,predicted gene 13244,Other,other
3.855,upstream,Gpr165,Gpr165,G protein-coupled receptor 165,Plasma Membrane,G-protein coupled receptor
3.855,downstream,Gpr37,GPR37,G protein-coupled receptor 37,Plasma Membrane,G-protein coupled receptor
3.855,downstream,Mup19,Mup1 (includes others),major urinary protein 1,Extracellular Space,other
3.855,downstream,Mup2,Mup1 (includes others),major urinary protein 1,Extracellular Space,other
3.855,downstream,Ngf,NGF,nerve growth factor,Extracellular Space,growth factor
3.855,inside,Olfm3,OLFM3,olfactomedin 3,Cytoplasm,other
3.855,inside,Pcbp3,PCBP3,poly(rC) binding protein 3,Nucleus,transcription regulator
3.855,inside,Rbms3,RBMS3,RNA binding motif single stranded interacting protein 3,Other,other
3.855,upstream,Setmar,Setmar,SET domain without mariner transposase fusion,Nucleus,enzyme
3.855,downstream,Tmx1,TMX1,thioredoxin related transmembrane protein 1,Cytoplasm,enzyme
3.807,inside,Slc1a4,SLC1A4,solute carrier family 1 member 4,Plasma Membrane,transporter
3.781,inside,Vwc2l,Vwc2l,von Willebrand factor C domain-containing protein 2-like,Extracellular Space,other
3.717,inside,Zfand3,ZFAND3,zinc finger AN1-type containing 3,Other,other
3.703,downstream,1700022I11Rik,C9orf131,chromosome 9 open reading frame 131,Other,other
